Home_Team,Away_Team,Predicted_Winner_Linear,Predicted_Winner_XGB,Models_Agree_On_Winner,Prob_Linear,Prob_XGB,Prob_Diff,Spread_Linear,Spread_XGB,Spread_Diff
SDG,MIN,MIN,MIN,True,0.45,0.33,0.12,-4.10,-8.80,4.70
ATL,MIA,ATL,ATL,True,0.81,0.50,0.31,3.70,-10.50,14.20
CIN,NYJ,CIN,NYJ,False,0.62,0.22,0.40,-1.80,-11.50,9.70
CAR,BUF,BUF,CAR,False,0.37,0.62,0.25,-1.50,-12.60,11.10
HTX,SFO,HTX,HTX,True,0.61,0.54,0.07,3.80,-1.70,5.50
NWE,CLE,NWE,CLE,False,0.81,0.40,0.42,6.30,-4.30,10.60
PHI,NYG,PHI,NYG,False,0.71,0.20,0.51,0.20,-12.20,12.40
NOR,TAM,TAM,NOR,False,0.32,0.62,0.31,-1.80,-6.90,5.10
CLT,OTI,CLT,OTI,False,0.84,0.32,0.52,5.70,-8.80,14.50
DEN,DAL,DEN,DEN,True,0.58,0.59,0.01,-0.10,-11.60,11.50
PIT,GNB,GNB,GNB,True,0.48,0.36,0.12,-1.20,-4.30,3.10
KAN,WAS,KAN,WAS,False,0.72,0.46,0.26,3.00,1.00,2.00
RAV,CHI,CHI,RAV,False,0.30,0.59,0.28,-6.70,-5.40,1.30
