Home_Team,Away_Team,Predicted_Winner_Linear,Predicted_Winner_XGB,Models_Agree_On_Winner,Prob_Linear,Prob_XGB,Prob_Diff,Spread_Linear,Spread_XGB,Spread_Diff
DEN,RAI,DEN,DEN,True,0.84,0.57,0.27,7.30,-0.80,8.10
CLT,ATL,CLT,ATL,False,0.75,0.45,0.30,5.40,-6.90,12.30
NYJ,CLE,CLE,CLE,True,0.33,0.44,0.11,-4.80,-5.70,0.90
CAR,NOR,CAR,NOR,False,0.65,0.20,0.45,1.80,-2.90,4.70
TAM,NWE,NWE,NWE,True,0.47,0.12,0.35,-3.50,-11.00,7.50
MIN,RAV,RAV,RAV,True,0.47,0.21,0.26,-0.40,-12.60,12.20
MIA,BUF,BUF,BUF,True,0.26,0.30,0.03,-2.20,-15.00,12.80
CHI,NYG,CHI,NYG,False,0.76,0.34,0.42,2.60,-1.60,4.20
HTX,JAX,HTX,JAX,False,0.73,0.38,0.35,4.90,-2.60,7.50
SEA,CRD,SEA,CRD,False,0.72,0.29,0.42,2.60,-12.40,15.00
WAS,DET,DET,DET,True,0.24,0.46,0.22,-6.50,-6.60,0.10
SFO,RAM,RAM,RAM,True,0.35,0.46,0.11,-3.60,-3.50,0.10
SDG,PIT,SDG,SDG,True,0.64,0.52,0.12,1.80,2.70,0.90
GNB,PHI,GNB,PHI,False,0.59,0.50,0.10,1.90,-4.00,5.90
