Game_ID,Season,Week,Date,IsInternational,Elo_Diff,Diff_Pts_rollingavg3,Diff_PtsO_rollingavg3,Diff_Tot_rollingavg3,Diff_Opp_Tot_rollingavg3,Diff_Points Per Drive_rollingavg3,Diff_Yds Per Drive_rollingavg3,Diff_Pts per Play_rollingavg3,Diff_Y/P_rollingavg3,Diff_Opp_Y/P_rollingavg3,Diff_TO_rollingavg3,Diff_Opp_TO_rollingavg3,Diff_ToP_Minutes_rollingavg3,Diff_Opp_ToP_Minutes_rollingavg3,Diff_Turnover Diff_rollingavg3,Diff_Turnover Percentage_rollingavg3,Diff_Defensive TO Percentage_rollingavg3,Diff_Pts Per Min of Poss_rollingavg3,Diff_Yds per Min of Poss_rollingavg3,Diff_ToP Ratio_rollingavg3,Diff_Def Pts Allowed Per Min of Poss_rollingavg3,Diff_Def Yds Allowed Per Min of Poss_rollingavg3,Diff_3DConv_rollingavg3,Diff_4DConv_rollingavg3,Diff_3D Success_rollingavg3,Diff_4D Success_rollingavg3,Diff_3d Stop Rate_rollingavg3,Diff_4d Stop Rate_rollingavg3,Diff_Sk Rate_rollingavg3,OffPtsPerDrive_vs_DefPtsPerPoss,Off3DSuccess_vs_Def3DStop,Off4DSuccess_vs_Def4DStop,OffTORate_vs_DefTORate,Total_Offensive_Efficiency_Diff,Total_Defensive_Efficiency_Diff,H_Season_Weight,spread_target,total_target,win_target
2010_W02_atl_vs_crd,2010,2,2010-09-19,0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2287679245496101,34,48,1
2010_W04_atl_vs_sfo,2010,4,2010-10-03,0,87.17938654268096,13.000000000000002,-13.666666666666666,75.0,11.0,1.28030303030303,6.621717171717176,0.11672004112897072,-0.09666666666666668,0.6733333333333338,-1.333333333333333,1.6666666666666665,9.761111111111113,-4.538888888888888,3.0,-0.025432479329496098,0.0321033281139664,0.1865194379496945,-0.9272234899740468,0.11011098987124107,-0.3781149847957318,2.4355123249527164,5.333333333333333,-0.33333333333333326,0.22151416122004358,-0.055555555555555636,0.18398268398268403,0.33333333333333337,0.044170805040370194,1.5769410136721564,-0.03160809778456841,0.22222222222222218,0.0008906769725965987,0.433452134921778,0.1831397818099946,0.2287679245496101,2,30,1
2010_W07_atl_vs_cin,2010,7,2010-10-24,0,63.03041951072714,-2.6666666666666607,0.3333333333333286,-29.33333333333337,17.333333333333314,-0.024410774410774216,0.7128908128908087,-0.0442640223604045,-0.6333333333333337,0.13333333333333286,-0.9999999999999998,-0.3333333333333335,-3.272222222222215,3.272222222222215,0.6666666666666666,-0.016446438665913003,-0.0058175415647771025,-0.026213799753750155,0.027211954997968135,-0.054537037037037106,-0.04388248102409831,-0.7614992832297975,0.33333333333333304,0.0,-0.004499422146480969,0.3333333333333333,-0.13391053391053376,-0.3333333333333333,-0.0022316046022941988,1.0868797104072758,-0.29740259740259734,0.3333333333333333,-0.0199356410344257,-0.2340027100348375,-0.15768713626954806,0.2287679245496101,7,71,1
2010_W09_atl_vs_tam,2010,9,2010-11-07,0,-2.2561618931981684,4.666666666666661,-3.3333333333333393,28.666666666666686,18.666666666666686,0.4680412180412181,-0.8645891145891156,0.0579052379769594,0.3533333333333335,-0.26333333333333453,0.6666666666666667,-0.33333333333333326,-1.5444444444444372,1.5444444444444372,-1.0,0.009716746639740603,-0.0061558866339081995,0.20129445621113085,1.5711397836303735,-0.02574074074074073,-0.15481211199301215,-0.025884589643148104,0.666666666666667,-1.0,0.05250305250305248,-0.2222222222222222,0.07948717948717948,-0.1666666666666666,0.0359814323607427,1.4737486820939512,0.0042124542124540865,0.5,-0.005228226057796798,0.2930932631171703,-0.031111791271131773,0.2287679245496101,6,48,1
2010_W10_atl_vs_rav,2010,10,2010-11-11,0,9.017857480858538,0.0,5.666666666666671,-11.0,8.0,0.14717227217227258,-0.4319985569985647,0.011742604149649893,0.08999999999999986,0.503333333333333,0.6666666666666666,-1.6666666666666667,-4.805555555555554,-0.9166666666666714,-2.333333333333333,0.010245989076634201,-0.022138183128276204,0.04574269600502501,1.041718320799946,-0.031058940330038254,0.2438124859363371,0.47459531542978084,2.0,0.33333333333333337,0.146582584082584,0.5,-0.08864827982475043,-0.16666666666666669,-0.0034412858239454003,2.097844989190662,-0.0572074983839691,0.5,-0.023879304501750503,0.08297162544064078,-0.09248437653989777,0.2287679245496101,5,47,1
2010_W12_atl_vs_gnb,2010,12,2010-11-28,0,45.650773474135804,0.6666666666666714,16.333333333333336,30.666666666666686,12.333333333333371,-0.13636363636363624,2.781818181818174,-0.01073396131334231,0.09666666666666757,0.6833333333333345,0.0,-1.3333333333333333,1.7833333333333385,-1.7833333333333314,-1.3333333333333333,0.0,-0.022764358561460002,0.015151378950461036,0.4747416553757322,0.029722222222222316,0.6441078637029938,1.4168865041559116,2.999999999999999,0.3333333333333333,0.119327731092437,0.3333333333333333,-0.04712738242150005,-0.16666666666666663,-0.03600087562935861,2.878823031910291,-0.059900883430295204,-0.3333333333333333,-0.0539664378337147,-0.01681031033677033,-0.07885280254987556,0.2287679245496101,3,37,1
2010_W16_atl_vs_nor,2010,16,2010-12-27,0,77.50697108435384,1.3333333333333321,-6.9999999999999964,-55.666666666666686,-49.0,-0.1472157472157467,-8.544677544677544,-0.04348785147441142,-1.5700000000000003,-0.8133333333333335,-0.3333333333333335,1.0,3.0888888888888886,-3.0888888888888886,1.3333333333333333,-0.0061515970794855,0.017233161062729402,-0.05639878033354706,-2.836827207846925,0.05148148148148168,-0.15892286774028663,-0.6206968930553245,2.333333333333333,0.6666666666666666,0.11714504535711973,0.3333333333333333,-0.030747030747030668,0.2222222222222222,-0.016137334887334903,2.0760974660621776,-0.21541822470615035,0.2222222222222222,0.002765278130961897,-0.5869011995633862,0.06956945084597364,0.2287679245496101,-3,31,0
2010_W17_atl_vs_car,2010,17,2011-01-02,0,260.2887632844979,15.666666666666663,-8.333333333333329,32.666666666666686,-21.0,1.2548044548044552,0.21087801087800173,0.21270821911890803,0.08666666666666778,-0.15666666666666718,-0.3333333333333335,0.6666666666666663,2.3222222222222193,-2.3222222222222157,1.0,-0.008197267189101999,0.0114116567732242,0.47135809189688227,0.5315215344798094,0.038703703703703796,-0.1928827884219836,0.21924253338249322,3.666666666666667,-0.33333333333333337,0.17496361567569013,-0.05555555555555547,0.03157365510306687,0.0,0.002706612948209605,1.6281491419843328,-0.20583075335397316,0.0,-0.0049958150546537995,0.518059780196677,0.014328437292097021,0.2287679245496101,21,41,1
2011_W02_atl_vs_phi,2011,2,2011-09-18,0,-2.2921413280807883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2541865828329001,4,66,1
2011_W05_atl_vs_gnb,2011,5,2011-10-09,0,-36.19951062688642,-9.333333333333336,4.0,-87.66666666666663,-12.0,-1.192307692307693,-9.45392755392755,-0.17433892629901182,-1.8933333333333335,-0.37333333333333396,0.0,-1.0,-1.2277777777777708,1.2277777777777743,-1.0,0.0003465489923080989,-0.018101468297884296,-0.2812676236021846,-2.2484812766496436,-0.020462962962963016,0.19195247461376552,0.03872829585643345,0.3333333333333339,0.0,-0.02831196581196571,0.0,-0.093989343989344,-0.3333333333333333,-0.0664292009400705,1.5436088438076014,-0.17205710955710946,-0.6666666666666666,-0.0293289024528923,-1.0866599839800128,-0.14847471520685387,0.2541865828329001,-11,39,0
